1,0,0.24,0.2879,0.81,16
1,1,0.22,0.2727,0.8,40
1,2,0.22,0.2727,0.8,32
1,3,0.24,0.2879,0.75,13
1,4,0.24,0.2879,0.75,1
1,5,0.24,0.2576,0.75,1
1,6,0.22,0.2727,0.8,2
1,7,0.2,0.2576,0.86,3
1,8,0.24,0.2879,0.75,8
1,9,0.32,0.3485,0.76,14
1,10,0.38,0.3939,0.76,36
1,11,0.36,0.3333,0.81,56
1,12,0.42,0.4242,0.77,84
1,13,0.46,0.4545,0.72,94
1,14,0.46,0.4545,0.72,106
1,15,0.44,0.4394,0.77,110
1,16,0.42,0.4242,0.82,93
1,17,0.44,0.4394,0.82,67
1,18,0.42,0.4242,0.88,35
1,19,0.42,0.4242,0.88,37
1,20,0.4,0.4091,0.87,36
1,21,0.4,0.4091,0.87,34
1,22,0.4,0.4091,0.94,28
1,23,0.46,0.4545,0.88,39
1,0,0.46,0.4545,0.88,17
1,1,0.44,0.4394,0.94,17
1,2,0.42,0.4242,1,9
1,3,0.46,0.4545,0.94,6
1,4,0.46,0.4545,0.94,3
1,6,0.42,0.4242,0.77,2
1,7,0.4,0.4091,0.76,1
1,8,0.4,0.4091,0.71,8
1,9,0.38,0.3939,0.76,20
1,10,0.36,0.3485,0.81,53
1,11,0.36,0.3333,0.71,70
1,12,0.36,0.3333,0.66,93
1,13,0.36,0.3485,0.66,75
1,14,0.36,0.3485,0.76,59
1,15,0.34,0.3333,0.81,74
1,16,0.34,0.3333,0.71,76
1,17,0.34,0.3333,0.57,65
1,18,0.36,0.3333,0.46,53
1,19,0.32,0.2879,0.42,30
1,20,0.3,0.2727,0.39,22
1,21,0.26,0.2273,0.44,31
1,22,0.24,0.2121,0.44,9
1,23,0.22,0.2273,0.47,8
1,0,0.22,0.197,0.44,5
1,1,0.2,0.1667,0.44,2
1,4,0.16,0.1364,0.47,1
1,5,0.16,0.1364,0.47,3
1,6,0.14,0.1061,0.5,30
1,7,0.14,0.1364,0.5,64
1,8,0.14,0.1212,0.5,154
1,9,0.16,0.1364,0.43,88
1,10,0.18,0.1667,0.43,44
1,11,0.2,0.1818,0.4,51
1,12,0.22,0.2121,0.35,61
1,13,0.24,0.2121,0.35,61
1,14,0.26,0.2424,0.3,77
1,15,0.26,0.2424,0.3,72
1,16,0.26,0.2424,0.3,76
1,17,0.24,0.2273,0.3,157
1,18,0.24,0.2576,0.32,157
1,19,0.2,0.2576,0.47,110
1,20,0.2,0.2273,0.47,52
1,21,0.18,0.197,0.64,52
1,22,0.14,0.1515,0.69,20
1,23,0.18,0.2121,0.55,12
1,0,0.16,0.1818,0.55,5
1,1,0.16,0.1818,0.59,2
1,2,0.14,0.1515,0.63,1
1,4,0.14,0.1818,0.63,2
1,5,0.12,0.1515,0.68,4
1,6,0.12,0.1515,0.74,36
1,7,0.12,0.1515,0.74,94
1,8,0.14,0.1515,0.69,179
1,9,0.16,0.1515,0.64,100
1,10,0.16,0.1364,0.69,42
1,11,0.22,0.2121,0.51,57
1,12,0.22,0.2273,0.51,78
1,13,0.24,0.2273,0.56,97
1,14,0.26,0.2576,0.52,63
1,15,0.28,0.2727,0.52,65
1,16,0.3,0.2879,0.49,83
1,17,0.28,0.2727,0.48,212
1,18,0.26,0.2576,0.48,182
1,19,0.24,0.2576,0.48,112
1,20,0.24,0.2576,0.48,54
1,21,0.22,0.2727,0.64,48
1,22,0.22,0.2576,0.64,35
1,23,0.2,0.2273,0.69,11
1,0,0.2,0.2576,0.64,6
1,1,0.16,0.197,0.74,6
1,2,0.16,0.197,0.74,2
1,4,0.24,0.2273,0.48,2
1,5,0.22,0.2273,0.47,3
1,6,0.2,0.197,0.47,33
1,7,0.18,0.1818,0.43,88
1,8,0.2,0.1818,0.4,195
1,9,0.22,0.197,0.37,115
